layer,mean,std,n
model.layers.0.mlp.down_proj,-0.07923676552275348,0.06184611016772859,11272192
model.layers.0.mlp.gate_proj,-0.08198907016031985,0.06396242188583065,11272192
model.layers.0.mlp.up_proj,-0.07922918519863403,0.06054352160718568,11272192
model.layers.0.self_attn.k_proj,-0.08730603183539642,0.09014759325558544,4194304
model.layers.0.self_attn.o_proj,-0.05045922132785563,0.04482041756321343,4194304
model.layers.0.self_attn.q_proj,-0.09302939873259675,0.09363351510045913,4194304
model.layers.0.self_attn.v_proj,-0.05615034433390065,0.04683041569361774,4194304
model.layers.1.mlp.down_proj,-0.07981282036019176,0.061871192905002245,11272192
model.layers.1.mlp.gate_proj,-0.08388950829637822,0.06477454880747549,11272192
model.layers.1.mlp.up_proj,-0.0805966562579987,0.06153938258578833,11272192
model.layers.1.self_attn.k_proj,-0.11573621391175948,0.1057084765481645,4194304
model.layers.1.self_attn.o_proj,-0.060874531600347837,0.04873129145773624,4194304
model.layers.1.self_attn.q_proj,-0.11736723895137402,0.1036815114325832,4194304
model.layers.1.self_attn.v_proj,-0.06153062349767424,0.04762467068535249,4194304
model.layers.10.mlp.down_proj,-0.08093173564025904,0.06225916726700693,11272192
model.layers.10.mlp.gate_proj,-0.08415814317785864,0.06587760126185714,11272192
model.layers.10.mlp.up_proj,-0.08140363818106273,0.06227461791482291,11272192
model.layers.10.self_attn.k_proj,-0.10222292012895196,0.08751866214806273,4194304
model.layers.10.self_attn.o_proj,-0.0669974916368119,0.05121944804855524,4194304
model.layers.10.self_attn.q_proj,-0.10236733402371101,0.08870761004217055,4194304
model.layers.10.self_attn.v_proj,-0.06800442019084585,0.05188172631204241,4194304
model.layers.11.mlp.down_proj,-0.08043833708303959,0.06158841797112438,11272192
model.layers.11.mlp.gate_proj,-0.08409658615947105,0.06505583020694573,11272192
model.layers.11.mlp.up_proj,-0.08110212140681416,0.06179199036361667,11272192
model.layers.11.self_attn.k_proj,-0.1064106311496289,0.08878605938424815,4194304
model.layers.11.self_attn.o_proj,-0.06706579238243648,0.05134335880731117,4194304
model.layers.11.self_attn.q_proj,-0.10694483360703089,0.09137637651100886,4194304
model.layers.11.self_attn.v_proj,-0.06830961554805981,0.05240379886413766,4194304
model.layers.12.mlp.down_proj,-0.08039428556891602,0.06152850940900271,11272192
model.layers.12.mlp.gate_proj,-0.08474933170492836,0.06564211437291284,11272192
model.layers.12.mlp.up_proj,-0.0811487450663726,0.06191429083188576,11272192
model.layers.12.self_attn.k_proj,-0.10765660250490328,0.08856223454421192,4194304
model.layers.12.self_attn.o_proj,-0.07124431622196425,0.054975093352067364,4194304
model.layers.12.self_attn.q_proj,-0.10791368119225808,0.09205802467734527,4194304
model.layers.12.self_attn.v_proj,-0.07229825052854721,0.05528886962293525,4194304
model.layers.13.mlp.down_proj,-0.08047794070207179,0.06162187984656869,11272192
model.layers.13.mlp.gate_proj,-0.08542301401334847,0.06615607660739642,11272192
model.layers.13.mlp.up_proj,-0.08118393348339067,0.061935267163217025,11272192
model.layers.13.self_attn.k_proj,-0.10422400398510945,0.08554539220852579,4194304
model.layers.13.self_attn.o_proj,-0.06974465279290598,0.053630898519148165,4194304
model.layers.13.self_attn.q_proj,-0.10441615483705391,0.08915293560833963,4194304
model.layers.13.self_attn.v_proj,-0.07134555784068652,0.054319325772948485,4194304
model.layers.14.mlp.down_proj,-0.08039819237320592,0.06133532393366204,11272192
model.layers.14.mlp.gate_proj,-0.08621705797613262,0.0666477615263523,11272192
model.layers.14.mlp.up_proj,-0.08111198646521336,0.061815954932130567,11272192
model.layers.14.self_attn.k_proj,-0.10216727174474727,0.08454503603743703,4194304
model.layers.14.self_attn.o_proj,-0.07177978200434154,0.05554246336911022,4194304
model.layers.14.self_attn.q_proj,-0.10385260909970384,0.08927842016182479,4194304
model.layers.14.self_attn.v_proj,-0.0734198390155143,0.05596380247731023,4194304
model.layers.15.mlp.down_proj,-0.08060518732946907,0.06153469010760671,11272192
model.layers.15.mlp.gate_proj,-0.08689813853815458,0.06686700126566558,11272192
model.layers.15.mlp.up_proj,-0.0811899411681563,0.06185259427260236,11272192
model.layers.15.self_attn.k_proj,-0.10063361726543008,0.08384264313540932,4194304
model.layers.15.self_attn.o_proj,-0.07232610530627426,0.0555392057246327,4194304
model.layers.15.self_attn.q_proj,-0.10312442209306028,0.09061987683072308,4194304
model.layers.15.self_attn.v_proj,-0.07488601828299579,0.05718296712097475,4194304
model.layers.16.mlp.down_proj,-0.08163700340742781,0.06262660094671511,11272192
model.layers.16.mlp.gate_proj,-0.08763076136952001,0.06800349673063226,11272192
model.layers.16.mlp.up_proj,-0.08208817895434169,0.06272729018499651,11272192
model.layers.16.self_attn.k_proj,-0.09871778815659127,0.08114575862755595,4194304
model.layers.16.self_attn.o_proj,-0.07554881034957361,0.058120168553085466,4194304
model.layers.16.self_attn.q_proj,-0.10021382116201494,0.08646833711174347,4194304
model.layers.16.self_attn.v_proj,-0.07669806251578848,0.058541831542883505,4194304
model.layers.17.mlp.down_proj,-0.08175482862591094,0.06254003668663653,11272192
model.layers.17.mlp.gate_proj,-0.08769534789749996,0.06748248980757886,11272192
model.layers.17.mlp.up_proj,-0.08217461223187478,0.06258270566274797,11272192
model.layers.17.self_attn.k_proj,-0.0991191052553404,0.08409752545412594,4194304
model.layers.17.self_attn.o_proj,-0.07757533088170021,0.05957659869556672,4194304
model.layers.17.self_attn.q_proj,-0.10086643906424797,0.0885246767496406,4194304
model.layers.17.self_attn.v_proj,-0.07878831014568277,0.0605968717325992,4194304
model.layers.18.mlp.down_proj,-0.08250231048458413,0.06381333700449965,11272192
model.layers.18.mlp.gate_proj,-0.08837597090094404,0.06864421962553462,11272192
model.layers.18.mlp.up_proj,-0.0828793554358336,0.06339660720671787,11272192
model.layers.18.self_attn.k_proj,-0.09779125035720426,0.0805611426117512,4194304
model.layers.18.self_attn.o_proj,-0.07972458360472956,0.0615305018906527,4194304
model.layers.18.self_attn.q_proj,-0.09952365960907628,0.08522412885980095,4194304
model.layers.18.self_attn.v_proj,-0.08086265230031131,0.06225974169228552,4194304
model.layers.19.mlp.down_proj,-0.08343769600672436,0.06406220907705318,11272192
model.layers.19.mlp.gate_proj,-0.08863359550724813,0.06830200776884321,11272192
model.layers.19.mlp.up_proj,-0.0837316609716698,0.06376968162393111,11272192
model.layers.19.self_attn.k_proj,-0.09235388562228763,0.07925409783440858,4194304
model.layers.19.self_attn.o_proj,-0.08538237845914409,0.06525155061292362,4194304
model.layers.19.self_attn.q_proj,-0.09548598929904983,0.08474520090074461,4194304
model.layers.19.self_attn.v_proj,-0.08727799719326867,0.06673478881148188,4194304
model.layers.2.mlp.down_proj,-0.08041106962289547,0.062006236088441136,11272192
model.layers.2.mlp.gate_proj,-0.08552656651963209,0.06622079571837762,11272192
model.layers.2.mlp.up_proj,-0.080453278898562,0.061477110136037356,11272192
model.layers.2.self_attn.k_proj,-0.10982050064308169,0.0963858580613458,4194304
model.layers.2.self_attn.o_proj,-0.0642265086335101,0.05036404130919413,4194304
model.layers.2.self_attn.q_proj,-0.11082171390853546,0.09735109520095006,4194304
model.layers.2.self_attn.v_proj,-0.0648236912320499,0.05006074448726962,4194304
model.layers.20.mlp.down_proj,-0.08351544180829457,0.06422375867932083,11272192
model.layers.20.mlp.gate_proj,-0.08811385306051857,0.0681913871422111,11272192
model.layers.20.mlp.up_proj,-0.08459695824963409,0.06439853911657388,11272192
model.layers.20.self_attn.k_proj,-0.09277998393599773,0.08094874456408187,4194304
model.layers.20.self_attn.o_proj,-0.0871219004948216,0.06700117618251807,4194304
model.layers.20.self_attn.q_proj,-0.0955645468120565,0.08667297245850328,4194304
model.layers.20.self_attn.v_proj,-0.0889675929220175,0.06891631511475885,4194304
model.layers.21.mlp.down_proj,-0.08371818720699467,0.06467838546978551,11272192
model.layers.21.mlp.gate_proj,-0.08873445180422074,0.06885077634068697,11272192
model.layers.21.mlp.up_proj,-0.08474735699852572,0.06465936416915663,11272192
model.layers.21.self_attn.k_proj,-0.08480155071129047,0.07534784768717948,4194304
model.layers.21.self_attn.o_proj,-0.09544233528868062,0.07321414924117844,4194304
model.layers.21.self_attn.q_proj,-0.08808774184990398,0.08194761147105517,4194304
model.layers.21.self_attn.v_proj,-0.09948216499651608,0.07694005312288234,4194304
model.layers.22.mlp.down_proj,-0.0855994497268152,0.06967353865951732,11272192
model.layers.22.mlp.gate_proj,-0.09080200522480164,0.07115408235243818,11272192
model.layers.22.mlp.up_proj,-0.08650123909505647,0.06707163832315585,11272192
model.layers.22.self_attn.k_proj,-0.0881374854529895,0.07783704193845038,4194304
model.layers.22.self_attn.o_proj,-0.09334033587037993,0.0720954752120329,4194304
model.layers.22.self_attn.q_proj,-0.09207180762996359,0.08571725596530823,4194304
model.layers.22.self_attn.v_proj,-0.09474011793599857,0.07335522783857208,4194304
model.layers.23.mlp.down_proj,-0.0847566850509814,0.06966390269325143,11272192
model.layers.23.mlp.gate_proj,-0.0958746783907436,0.07504584274859324,11272192
model.layers.23.mlp.up_proj,-0.08858288085490172,0.06971782744745865,11272192
model.layers.23.self_attn.k_proj,-0.09410176940673409,0.08002777121669422,4194304
model.layers.23.self_attn.o_proj,-0.09169394968466804,0.0769082030638999,4194304
model.layers.23.self_attn.q_proj,-0.09614284696499453,0.08473113393511787,4194304
model.layers.23.self_attn.v_proj,-0.09320345474407077,0.07734845371040927,4194304
model.layers.3.mlp.down_proj,-0.07930429872236387,0.061406144301246954,11272192
model.layers.3.mlp.gate_proj,-0.08573374746138565,0.06682761775998532,11272192
model.layers.3.mlp.up_proj,-0.07907308277174517,0.060487847134980656,11272192
