layer,mean,std,n
model.layers.0.mlp.down_proj,-0.024881839002099934,0.020096911961271283,21233664
model.layers.0.mlp.gate_proj,-0.026240722683319798,0.020602635404305843,21233664
model.layers.0.mlp.up_proj,-0.02557721336815581,0.01975355619631628,21233664
model.layers.0.self_attn.k_proj,-0.037905984131713116,0.031151608743691984,2359296
model.layers.0.self_attn.o_proj,-0.03383811566143575,0.02706246223719351,4718592
model.layers.0.self_attn.q_proj,-0.0374730600931596,0.03195927308056788,4718592
model.layers.0.self_attn.v_proj,-0.03259770177424394,0.025854902366673434,2359296
model.layers.1.mlp.down_proj,-0.0243361509246263,0.020078822044365403,21233664
model.layers.1.mlp.gate_proj,-0.02587327132920266,0.02007232030081581,21233664
model.layers.1.mlp.up_proj,-0.025566444475030207,0.01955560263122531,21233664
model.layers.1.self_attn.k_proj,-0.038090116327819286,0.03239396472354454,2359296
model.layers.1.self_attn.o_proj,-0.0346694606761149,0.028211871984274793,4718592
model.layers.1.self_attn.q_proj,-0.03708050070054014,0.03267693859994804,4718592
model.layers.1.self_attn.v_proj,-0.03578990539891594,0.028052337169044147,2359296
model.layers.10.mlp.down_proj,-0.02456061400579652,0.01977982257537553,21233664
model.layers.10.mlp.gate_proj,-0.024598333953308835,0.019975604935667992,21233664
model.layers.10.mlp.up_proj,-0.02441399272572232,0.018963333673304775,21233664
model.layers.10.self_attn.k_proj,-0.03824826812019132,0.035752480157034874,2359296
model.layers.10.self_attn.o_proj,-0.03394308590638199,0.027916514251903723,4718592
model.layers.10.self_attn.q_proj,-0.037567764901622364,0.03391837282900824,4718592
model.layers.10.self_attn.v_proj,-0.0368789033002233,0.02832164384858846,2359296
model.layers.11.mlp.down_proj,-0.024230494836934038,0.01927999075811742,21233664
model.layers.11.mlp.gate_proj,-0.02458257051420119,0.02025314113699935,21233664
model.layers.11.mlp.up_proj,-0.024303124754904856,0.01891012831202641,21233664
model.layers.11.self_attn.k_proj,-0.039278766894616034,0.03336204451240579,2359296
model.layers.11.self_attn.o_proj,-0.034882514148800205,0.029247338973094762,4718592
model.layers.11.self_attn.q_proj,-0.0379460013538038,0.03170125970197012,4718592
model.layers.11.self_attn.v_proj,-0.03722564864114651,0.028459586025047046,2359296
