layer,mean,std,n
model.layers.0.conv.in_proj.weight,4.456835422198917e-06,0.023945470011009527,12582912
model.layers.0.conv.out_proj.weight,-2.994951472601315e-06,0.0231653720481357,4194304
model.layers.0.feed_forward.w1.weight,3.2558987925312977e-05,0.021593907331984963,16777216
model.layers.0.feed_forward.w3.weight,2.5011972617505762e-06,0.02125401739490193,16777216
model.layers.0.feed_forward.w2.weight,3.4337545322671303e-06,0.02105360030937738,16777216
model.layers.1.conv.in_proj.weight,-8.344735618948107e-06,0.024055136130057345,12582912
model.layers.1.conv.out_proj.weight,-4.4148381306285955e-06,0.023013846769850542,4194304
model.layers.1.feed_forward.w1.weight,1.9787177567565095e-05,0.022066926694129234,16777216
model.layers.1.feed_forward.w3.weight,7.378417805625758e-07,0.020966884050298444,16777216
model.layers.1.feed_forward.w2.weight,-2.7809189049321503e-06,0.020913135425747208,16777216
model.layers.2.self_attn.q_proj.weight,1.2080549041115773e-05,0.020216640247181807,4194304
model.layers.2.self_attn.k_proj.weight,-1.2249186681856372e-05,0.02032017791883113,1048576
model.layers.2.self_attn.v_proj.weight,-3.2473338137606333e-05,0.02282506926301266,1048576
model.layers.2.self_attn.out_proj.weight,6.950867160071539e-06,0.020614959583618666,4194304
model.layers.2.feed_forward.w1.weight,4.34338951400548e-05,0.022295555633949717,16777216
model.layers.2.feed_forward.w3.weight,1.0719508516388028e-06,0.020804797637499633,16777216
model.layers.2.feed_forward.w2.weight,-5.031928687060372e-06,0.02073739170661439,16777216
model.layers.3.conv.in_proj.weight,-8.03744425563006e-06,0.02378609609406612,12582912
model.layers.3.conv.out_proj.weight,3.541886997027177e-06,0.022948470096071125,4194304
model.layers.3.feed_forward.w1.weight,4.776190246502665e-05,0.02251737635209556,16777216
model.layers.3.feed_forward.w3.weight,-9.055285556058834e-06,0.02073561200758771,16777216
model.layers.3.feed_forward.w2.weight,-1.4276428217385728e-07,0.02074281362598795,16777216
model.layers.4.conv.in_proj.weight,-3.348690431910957e-06,0.0237699506116178,12582912
model.layers.4.conv.out_proj.weight,-1.4116375268713455e-06,0.023060380637537858,4194304
model.layers.4.feed_forward.w1.weight,3.419121235026523e-07,0.022256708856785812,16777216
model.layers.4.feed_forward.w3.weight,-8.871982203118023e-06,0.020963350421472206,16777216
model.layers.4.feed_forward.w2.weight,-1.4768175404356043e-05,0.020798347328587926,16777216
model.layers.5.self_attn.q_proj.weight,9.377230583140772e-07,0.019941363560605177,4194304
model.layers.5.self_attn.k_proj.weight,9.44397976354594e-06,0.01937108401643501,1048576
model.layers.5.self_attn.v_proj.weight,1.1800110087278881e-05,0.023532075573108217,1048576
