layer,mean,std,n
model.layers.0.mlp.down_proj,-0.052959889911636665,0.042027236345860225,45088768
model.layers.0.mlp.gate_proj,-0.05080048667112477,0.04080933610040405,45088768
model.layers.0.mlp.up_proj,-0.05015230121352943,0.03857756301878405,45088768
model.layers.0.self_attn.k_proj,-0.09306173258582362,0.09674031809890286,16777216
model.layers.0.self_attn.o_proj,-0.028964401862367595,0.02934619894937794,16777216
model.layers.0.self_attn.q_proj,-0.09539524283351852,0.1061291514760782,16777216
model.layers.0.self_attn.v_proj,-0.033386058466021495,0.03045314776477945,16777216
model.layers.1.mlp.down_proj,-0.056046668290015755,0.08753342458875153,45088768
model.layers.1.mlp.gate_proj,-0.05635613344866427,0.04525550105672123,45088768
model.layers.1.mlp.up_proj,-0.053420955142935905,0.04104199827644859,45088768
model.layers.1.self_attn.k_proj,-0.08523167235966866,0.09475842472920944,16777216
model.layers.1.self_attn.o_proj,-0.02927805016105367,0.029713187247950308,16777216
model.layers.1.self_attn.q_proj,-0.08472718383114852,0.0935584497170041,16777216
model.layers.1.self_attn.v_proj,-0.031425509922030415,0.027695672525153207,16777216
model.layers.10.mlp.down_proj,-0.055703449606838595,0.04300872655591393,45088768
model.layers.10.mlp.gate_proj,-0.05888375776953052,0.046914718114762895,45088768
model.layers.10.mlp.up_proj,-0.0557785190059042,0.04270408236642847,45088768
model.layers.10.self_attn.k_proj,-0.07761692844604795,0.06784530302383594,16777216
model.layers.10.self_attn.o_proj,-0.04361943517687905,0.033543131761572684,16777216
model.layers.10.self_attn.q_proj,-0.07548543196605806,0.06504162264117136,16777216
model.layers.10.self_attn.v_proj,-0.04462946619992181,0.034614776536600056,16777216
model.layers.11.mlp.down_proj,-0.055944626885616876,0.04318663621231615,45088768
model.layers.11.mlp.gate_proj,-0.058699961260699214,0.046531443340259174,45088768
model.layers.11.mlp.up_proj,-0.05622080161531834,0.0431107520891662,45088768
model.layers.11.self_attn.k_proj,-0.07078232077117264,0.0635117380422079,16777216
model.layers.11.self_attn.o_proj,-0.045276120611561055,0.03538379008200172,16777216
model.layers.11.self_attn.q_proj,-0.07055217681011072,0.06405534208098579,16777216
model.layers.11.self_attn.v_proj,-0.04652755319966673,0.03648330936366548,16777216
model.layers.12.mlp.down_proj,-0.056421027281494174,0.04329073348154677,45088768
model.layers.12.mlp.gate_proj,-0.05833609539462656,0.04602977045639699,45088768
model.layers.12.mlp.up_proj,-0.05662746016250187,0.04326353642342335,45088768
model.layers.12.self_attn.k_proj,-0.07534119703211672,0.06549580266241599,16777216
model.layers.12.self_attn.o_proj,-0.044825760230366996,0.034817293358737254,16777216
model.layers.12.self_attn.q_proj,-0.07336999208860107,0.06342217550889573,16777216
model.layers.12.self_attn.v_proj,-0.045925521199706054,0.035896019152463744,16777216
model.layers.13.mlp.down_proj,-0.057028844672501244,0.04395439457451795,45088768
model.layers.13.mlp.gate_proj,-0.058168135843135495,0.04590623075173851,45088768
model.layers.13.mlp.up_proj,-0.0571988310545833,0.04378264243145205,45088768
model.layers.13.self_attn.k_proj,-0.07393554902563437,0.0636167519776205,16777216
model.layers.13.self_attn.o_proj,-0.0464288142178475,0.03602333031413325,16777216
model.layers.13.self_attn.q_proj,-0.07293751364716172,0.06298878490902768,16777216
model.layers.13.self_attn.v_proj,-0.04743893146451228,0.03685089514256786,16777216
model.layers.14.mlp.down_proj,-0.056962622167195026,0.04362729992692851,45088768
model.layers.14.mlp.gate_proj,-0.05798182737296799,0.0456497900149005,45088768
model.layers.14.mlp.up_proj,-0.05720853582652337,0.04370146792777717,45088768
model.layers.14.self_attn.k_proj,-0.07388948711474086,0.06416704303218732,16777216
model.layers.14.self_attn.o_proj,-0.04555771210823423,0.03512980761444816,16777216
model.layers.14.self_attn.q_proj,-0.0722555394875144,0.062069353024560285,16777216
model.layers.14.self_attn.v_proj,-0.046693897787463357,0.03614344155804921,16777216
model.layers.15.mlp.down_proj,-0.057352768471604955,0.04424665190654743,45088768
model.layers.15.mlp.gate_proj,-0.05831732584818721,0.04596876907043198,45088768
model.layers.15.mlp.up_proj,-0.05755306851465003,0.04408191140839793,45088768
model.layers.15.self_attn.k_proj,-0.07433470188226465,0.0634228000639319,16777216
model.layers.15.self_attn.o_proj,-0.04723824651068753,0.03651794306599614,16777216
model.layers.15.self_attn.q_proj,-0.07249886813110606,0.06249842070427383,16777216
model.layers.15.self_attn.v_proj,-0.04857751909707986,0.03745081021762956,16777216
model.layers.16.mlp.down_proj,-0.0571604614898777,0.044008466127027954,45088768
model.layers.16.mlp.gate_proj,-0.05864183118036064,0.04607461941111146,45088768
model.layers.16.mlp.up_proj,-0.05742753828085264,0.043861951759296386,45088768
model.layers.16.self_attn.k_proj,-0.07310186693234755,0.06341835248005123,16777216
model.layers.16.self_attn.o_proj,-0.04937312287677287,0.03796540574897003,16777216
model.layers.16.self_attn.q_proj,-0.07158050015368644,0.06349214843760212,16777216
model.layers.16.self_attn.v_proj,-0.05057653262269923,0.038913670635638616,16777216
model.layers.17.mlp.down_proj,-0.05681557594111519,0.04352614023307504,45088768
model.layers.17.mlp.gate_proj,-0.05917295197104977,0.04631238532340545,45088768
model.layers.17.mlp.up_proj,-0.0571673930091577,0.04356230279436727,45088768
