layer,mean,std,n
model.layers.0.mlp.down_proj,-0.05711211461493804,0.04855643017340279,25165824
model.layers.0.mlp.gate_proj,-0.05978742614054984,0.047535026030500055,25165824
model.layers.0.mlp.up_proj,-0.05631691160010632,0.04342361255457904,25165824
model.layers.0.self_attn.k_proj,-0.15948885056999038,0.1533255050584343,3145728
model.layers.0.self_attn.o_proj,-0.038565200300884804,0.034588392409195465,9437184
model.layers.0.self_attn.q_proj,-0.1298820118976841,0.1257824974010459,9437184
model.layers.0.self_attn.v_proj,-0.0415901343024719,0.032474580644834126,3145728
model.layers.1.mlp.down_proj,-0.05724674458739779,0.05912939717455796,25165824
model.layers.1.mlp.gate_proj,-0.060631809712125076,0.04801262154980869,25165824
model.layers.1.mlp.up_proj,-0.056873660023408476,0.045336796489685735,25165824
model.layers.1.self_attn.k_proj,-0.11383220870357036,0.1071767234932641,3145728
model.layers.1.self_attn.o_proj,-0.043030116308323665,0.03828245945101214,9437184
model.layers.1.self_attn.q_proj,-0.08677923921085393,0.0807384820508718,9437184
model.layers.1.self_attn.v_proj,-0.04265295827281079,0.033153168483196466,3145728
model.layers.10.mlp.down_proj,-0.05689767252374622,0.04531396584204446,25165824
model.layers.10.mlp.gate_proj,-0.060281031864102864,0.049679116559918114,25165824
model.layers.10.mlp.up_proj,-0.05665897770018091,0.044261168714583035,25165824
model.layers.10.self_attn.k_proj,-0.09763604212275823,0.08711371085783193,3145728
model.layers.10.self_attn.o_proj,-0.0435812033540262,0.03523502350046151,9437184
model.layers.10.self_attn.q_proj,-0.07324436515207507,0.06190429026969548,9437184
model.layers.10.self_attn.v_proj,-0.0384048067923383,0.029681124500780254,3145728
model.layers.11.mlp.down_proj,-0.05827758520581483,0.04695640976592143,25165824
model.layers.11.mlp.gate_proj,-0.060018709428656315,0.05117175119267576,25165824
model.layers.11.mlp.up_proj,-0.057749778534040765,0.04552111848743422,25165824
model.layers.11.self_attn.k_proj,-0.09595658518264827,0.07879330594161825,3145728
model.layers.11.self_attn.o_proj,-0.046903779407987005,0.037508973428182435,9437184
model.layers.11.self_attn.q_proj,-0.07465879146305572,0.060252257016449366,9437184
model.layers.11.self_attn.v_proj,-0.04570251861999471,0.035186085191073795,3145728
model.layers.12.mlp.down_proj,-0.05770432744589016,0.04596977760866294,25165824
model.layers.12.mlp.gate_proj,-0.05996575565313833,0.05172086094725466,25165824
model.layers.12.mlp.up_proj,-0.05828805841974827,0.04580428821070801,25165824
model.layers.12.self_attn.k_proj,-0.09712893304155538,0.0853541218155,3145728
model.layers.12.self_attn.o_proj,-0.044654234027802886,0.035502740235071495,9437184
model.layers.12.self_attn.q_proj,-0.07330607357168144,0.06326500520099919,9437184
model.layers.12.self_attn.v_proj,-0.04057093791258618,0.031515184469410165,3145728
model.layers.13.mlp.down_proj,-0.0581411459732711,0.045965737739592935,25165824
model.layers.13.mlp.gate_proj,-0.06111021146913724,0.05351854114724844,25165824
model.layers.13.mlp.up_proj,-0.05811567346124017,0.04532840184179842,25165824
model.layers.13.self_attn.k_proj,-0.10301450582725617,0.09581170868085084,3145728
model.layers.13.self_attn.o_proj,-0.045392083633285236,0.036594219419477436,9437184
model.layers.13.self_attn.q_proj,-0.0747989835215574,0.06717109391165112,9437184
model.layers.13.self_attn.v_proj,-0.04362404211618317,0.03439280715217353,3145728
model.layers.14.mlp.down_proj,-0.05807014866278829,0.046348104115714626,25165824
model.layers.14.mlp.gate_proj,-0.06137572837042171,0.053271234834893336,25165824
model.layers.14.mlp.up_proj,-0.05815799628991651,0.04505953092897403,25165824
model.layers.14.self_attn.k_proj,-0.09398768079457416,0.07918495099324248,3145728
model.layers.14.self_attn.o_proj,-0.047648064387532135,0.037762865955420395,9437184
model.layers.14.self_attn.q_proj,-0.07574293792064661,0.07025980314665084,9437184
model.layers.14.self_attn.v_proj,-0.04756302738314844,0.03788107877140479,3145728
model.layers.15.mlp.down_proj,-0.057372055993785885,0.04572841918423594,25165824
model.layers.15.mlp.gate_proj,-0.0633447297047193,0.05335300505888958,25165824
model.layers.15.mlp.up_proj,-0.05743315922563852,0.044276353283067144,25165824
model.layers.15.self_attn.k_proj,-0.09381829530684627,0.08127635426511533,3145728
model.layers.15.self_attn.o_proj,-0.04737812006432149,0.037616583248291764,9437184
model.layers.15.self_attn.q_proj,-0.0752215663022879,0.06524677137046844,9437184
model.layers.15.self_attn.v_proj,-0.044930010226380546,0.03476615855506227,3145728
model.layers.16.mlp.down_proj,-0.056034656825052785,0.04345257425105975,25165824
model.layers.16.mlp.gate_proj,-0.06363754746613873,0.05232074703001989,25165824
model.layers.16.mlp.up_proj,-0.056560794069885865,0.043341123646403246,25165824
model.layers.16.self_attn.k_proj,-0.09848250093637034,0.08341043300921773,3145728
model.layers.16.self_attn.o_proj,-0.04735041301096822,0.0373147337613379,9437184
model.layers.16.self_attn.q_proj,-0.07613579712132276,0.06430752686830958,9437184
model.layers.16.self_attn.v_proj,-0.04689352492277976,0.03741976331160493,3145728
model.layers.17.mlp.down_proj,-0.05616418961919104,0.04369858868319836,25165824
model.layers.17.mlp.gate_proj,-0.0637792647266148,0.0525086956665905,25165824
model.layers.17.mlp.up_proj,-0.056219902897889064,0.043005388652235695,25165824
model.layers.17.self_attn.k_proj,-0.0952033972832093,0.08044696579874522,3145728
model.layers.17.self_attn.o_proj,-0.04842117956448217,0.037987673212596974,9437184
model.layers.17.self_attn.q_proj,-0.07458940650192543,0.062381077370602264,9437184
model.layers.17.self_attn.v_proj,-0.045499993107417445,0.03574765572137204,3145728
model.layers.18.mlp.down_proj,-0.05648549676736062,0.043820638104792795,25165824
model.layers.18.mlp.gate_proj,-0.0635096790743622,0.051779163177558894,25165824
