layer,mean,std,n
model.layers.0.mlp.down_proj,-0.06127804536208714,0.05079749219887916,25165824
model.layers.0.mlp.gate_up_proj,-0.0756030192117881,0.061550077589855014,50331648
model.layers.0.self_attn.o_proj,-0.028001058850451146,0.03677276039911011,9437184
model.layers.0.self_attn.qkv_proj,-0.15949928768781807,0.42785376624359844,28311552
model.layers.1.mlp.down_proj,-0.048991848327204934,0.039770585143379326,25165824
model.layers.1.mlp.gate_up_proj,-0.1396757955958492,0.121217747011197,50331648
model.layers.1.self_attn.o_proj,-0.050094603193125906,0.0432520701601425,9437184
model.layers.1.self_attn.qkv_proj,-0.10424518935601385,0.25842001984864527,28311552
model.layers.10.mlp.down_proj,-0.07525261317338543,0.05720724447038586,25165824
model.layers.10.mlp.gate_up_proj,-0.09231416532873028,0.07379151439254934,50331648
model.layers.10.self_attn.o_proj,-0.06207702208383934,0.047985299198287604,9437184
model.layers.10.self_attn.qkv_proj,-0.0725443770521384,0.062323657448156204,28311552
model.layers.11.mlp.down_proj,-0.07822868696014969,0.0592771909262891,25165824
model.layers.11.mlp.gate_up_proj,-0.09495350857446283,0.07578992146663796,50331648
model.layers.11.self_attn.o_proj,-0.056217695673492725,0.04337528759354363,9437184
model.layers.11.self_attn.qkv_proj,-0.06995241269507661,0.06180170772555473,28311552
model.layers.12.mlp.down_proj,-0.06404685588161858,0.04901933231275798,25165824
model.layers.12.mlp.gate_up_proj,-0.10184872047163178,0.08615146694604267,50331648
model.layers.12.self_attn.o_proj,-0.08261433474055795,0.06367910082500072,9437184
model.layers.12.self_attn.qkv_proj,-0.06622913728305893,0.0611502130333682,28311552
model.layers.13.mlp.down_proj,-0.027225394622822325,0.03736192441402713,25165824
model.layers.13.mlp.gate_up_proj,-0.17747963595445526,0.19468132673230254,50331648
model.layers.13.self_attn.o_proj,-0.057885677632131975,0.046157890004800695,9437184
model.layers.13.self_attn.qkv_proj,-0.0772086724549202,0.06555160226934598,28311552
model.layers.14.mlp.down_proj,-0.07596787100768172,0.05801462768696903,25165824
model.layers.14.mlp.gate_up_proj,-0.09070536603208743,0.07478014194658761,50331648
model.layers.14.self_attn.o_proj,-0.06252150256679873,0.04753639484928857,9437184
model.layers.14.self_attn.qkv_proj,-0.07037493579452901,0.059834783240884676,28311552
model.layers.15.mlp.down_proj,-0.08768607049417672,0.06606807824290942,25165824
model.layers.15.mlp.gate_up_proj,-0.08576663060599307,0.06859854603961706,50331648
model.layers.15.self_attn.o_proj,-0.05802946599578718,0.04455483978730024,9437184
model.layers.15.self_attn.qkv_proj,-0.06792649247155942,0.06081761396655855,28311552
model.layers.16.mlp.down_proj,-0.08768324407295343,0.06661014857969229,25165824
model.layers.16.mlp.gate_up_proj,-0.08092877486895608,0.06507316358855987,50331648
model.layers.16.self_attn.o_proj,-0.05655323021023327,0.04299513921730775,9437184
model.layers.16.self_attn.qkv_proj,-0.07077268607180386,0.06186146768180066,28311552
model.layers.17.mlp.down_proj,-0.0744927246860243,0.056281311971420306,25165824
model.layers.17.mlp.gate_up_proj,-0.09392256139384851,0.07800624979601853,50331648
model.layers.17.self_attn.o_proj,-0.06264509007430913,0.047701874517616705,9437184
model.layers.17.self_attn.qkv_proj,-0.0739439924607184,0.06472604130445998,28311552
model.layers.18.mlp.down_proj,-0.07886645293259183,0.060091469439851074,25165824
model.layers.18.mlp.gate_up_proj,-0.09353100983230433,0.07681443738332841,50331648
model.layers.18.self_attn.o_proj,-0.06867164476413261,0.05309288707127721,9437184
