layer,mean,std,n
model.layers.0.mlp.down_proj,0.0007399744457264509,0.1107026833456649,12582912
model.layers.0.mlp.gate_proj,0.0030217613754454455,0.13609796159080642,12582912
model.layers.0.mlp.up_proj,0.0007369660352196661,0.1088755550783029,12582912
model.layers.0.self_attn.k_proj,0.00011353445461281808,0.12816605011482926,2097152
model.layers.0.self_attn.o_proj,0.0007091387892614875,0.10747594440616219,4194304
model.layers.0.self_attn.q_proj,0.0013417683067018515,0.13338001002303285,4194304
model.layers.0.self_attn.v_proj,0.001975356235561776,0.11623170357428055,2097152
model.layers.1.mlp.down_proj,0.000552780055537975,0.10456923509009619,12582912
model.layers.1.mlp.gate_proj,-0.00019654552337063555,0.15735762262396868,12582912
model.layers.1.mlp.up_proj,0.0005602175141727155,0.10143106825341608,12582912
model.layers.1.self_attn.k_proj,-0.00032638948323437944,0.12580183258370484,2097152
model.layers.1.self_attn.o_proj,0.0010307717120667803,0.11193515902055626,4194304
model.layers.1.self_attn.q_proj,0.0009052573427652533,0.12735929495694634,4194304
model.layers.1.self_attn.v_proj,0.0001325461307715159,0.12284978136799689,2097152
model.layers.10.mlp.down_proj,0.00035672165404321277,0.12092111644637062,12582912
model.layers.10.mlp.gate_proj,0.0009379828168979051,0.1345087540762775,12582912
model.layers.10.mlp.up_proj,0.00032290471578259405,0.12398163784951541,12582912
model.layers.10.self_attn.k_proj,0.00022061447589294403,0.1174268906963259,2097152
model.layers.10.self_attn.o_proj,0.0006635524737248488,0.10722865873828544,4194304
model.layers.10.self_attn.q_proj,0.0016548652924939233,0.12483681227422212,4194304
model.layers.10.self_attn.v_proj,0.0011036586311092833,0.12085820975901504,2097152
model.layers.11.mlp.down_proj,0.0006362830724053007,0.11765768743103472,12582912
model.layers.11.mlp.gate_proj,0.0008768197450687392,0.12536881414757112,12582912
model.layers.11.mlp.up_proj,0.00026212639204459265,0.12320522589656242,12582912
model.layers.11.self_attn.k_proj,0.0021934508531558095,0.12529557116919596,2097152
model.layers.11.self_attn.o_proj,0.00039822103008191334,0.10060402205261847,4194304
model.layers.11.self_attn.q_proj,0.0005996129366394598,0.13356115955138959,4194304
model.layers.11.self_attn.v_proj,0.001795193242287496,0.11972662297887283,2097152
model.layers.12.mlp.down_proj,0.0005429489968567699,0.11531603256576764,12582912
model.layers.12.mlp.gate_proj,0.0003983702825583654,0.12039526269591526,12582912
model.layers.12.mlp.up_proj,0.0008869858875186765,0.12272315521483794,12582912
model.layers.12.self_attn.k_proj,-0.0007554586827609455,0.11872139279417743,2097152
model.layers.12.self_attn.o_proj,0.001089981431960041,0.10089219545672638,4194304
model.layers.12.self_attn.q_proj,0.00046522959564754274,0.12513575343703134,4194304
model.layers.12.self_attn.v_proj,0.0003082579314650502,0.11761045918701965,2097152
model.layers.13.mlp.down_proj,0.0010084273136878135,0.11322397146653873,12582912
model.layers.13.mlp.gate_proj,0.0008661964078176728,0.11804366954397402,12582912
model.layers.13.mlp.up_proj,0.00034950928996598424,0.11906129378273794,12582912
model.layers.13.self_attn.k_proj,-0.000506250628404814,0.11191402867036464,2097152
model.layers.13.self_attn.o_proj,0.0014360682168899075,0.097049858775783,4194304
model.layers.13.self_attn.q_proj,0.0014102952204666508,0.12649942019141083,4194304
model.layers.13.self_attn.v_proj,0.0009601614128769143,0.11403736280108301,2097152
model.layers.14.mlp.down_proj,0.00047058034942892846,0.11281576225234753,12582912
model.layers.14.mlp.gate_proj,0.0010393149341325625,0.11486942413614729,12582912
model.layers.14.mlp.up_proj,0.0012087502652017672,0.11668354333352837,12582912
model.layers.14.self_attn.k_proj,-0.0013950213265161437,0.11405706505648615,2097152
model.layers.14.self_attn.o_proj,0.0010630583556121564,0.09638954454005244,4194304
model.layers.14.self_attn.q_proj,-1.0759733413578942e-05,0.12390763799860254,4194304
model.layers.14.self_attn.v_proj,0.0007676115201320499,0.11177020495035578,2097152
model.layers.15.mlp.down_proj,0.0014018412142225618,0.1128049358473063,12582912
model.layers.15.mlp.gate_proj,0.0013935932724962186,0.11710962925563617,12582912
model.layers.15.mlp.up_proj,0.0010068701697794797,0.12005368122905957,12582912
model.layers.15.self_attn.k_proj,0.0009153317960226559,0.10468945952065477,2097152
model.layers.15.self_attn.o_proj,0.0014623983606725233,0.1003845632721295,4194304
model.layers.15.self_attn.q_proj,0.0002535109518930767,0.12782807783839442,4194304
model.layers.15.self_attn.v_proj,0.0007465341386705404,0.11907899888859234,2097152
model.layers.16.mlp.down_proj,0.0009473334648646414,0.13570135517711296,12582912
model.layers.16.mlp.gate_proj,0.0007728887555155477,0.12492141719537418,12582912
model.layers.16.mlp.up_proj,0.0009869155934817777,0.13510722114290782,12582912
model.layers.16.self_attn.k_proj,0.001667932554937579,0.12085746470747621,2097152
model.layers.16.self_attn.o_proj,0.000901981233710103,0.10520242387106418,4194304
model.layers.16.self_attn.q_proj,0.001214397912917775,0.14341762491509927,4194304
model.layers.16.self_attn.v_proj,7.25164918549126e-05,0.122059970697203,2097152
model.layers.17.mlp.down_proj,0.0008745199825170857,0.11659834600309883,12582912
model.layers.17.mlp.gate_proj,0.0007630278641954646,0.12150419925363994,12582912
model.layers.17.mlp.up_proj,0.0008661843324565174,0.12891957403473875,12582912
model.layers.17.self_attn.k_proj,-0.00017324404052487807,0.11063368451554947,2097152
model.layers.17.self_attn.o_proj,0.0010415795022709062,0.10165802381057898,4194304
model.layers.17.self_attn.q_proj,0.00024401789755756909,0.1321989263646027,4194304
model.layers.17.self_attn.v_proj,5.535188392968848e-06,0.11973939526335195,2097152
model.layers.18.mlp.down_proj,0.0003342706219579365,0.12000910833687779,12582912
model.layers.18.mlp.gate_proj,0.0013111860192414801,0.12396970799320556,12582912
model.layers.18.mlp.up_proj,0.000789812868485266,0.13028648653890348,12582912
model.layers.18.self_attn.k_proj,0.0005310090800776379,0.10927670712850371,2097152
model.layers.18.self_attn.o_proj,0.00035487879131324007,0.09699935208248947,4194304
model.layers.18.self_attn.q_proj,0.000816061837667803,0.13343196905045965,4194304
model.layers.18.self_attn.v_proj,0.0025570444886398036,0.1139233116384482,2097152
model.layers.19.mlp.down_proj,0.0011107913698348664,0.1353149548574581,12582912
model.layers.19.mlp.gate_proj,0.0009509154994399674,0.13018257236597514,12582912
model.layers.19.mlp.up_proj,0.000491772795006303,0.13961167722131723,12582912
model.layers.19.self_attn.k_proj,3.859053913402022e-05,0.11338558661253374,2097152
model.layers.19.self_attn.o_proj,0.0011304422846478701,0.10391537108985534,4194304
model.layers.19.self_attn.q_proj,0.0001678558803632768,0.14033987920218338,4194304
model.layers.19.self_attn.v_proj,0.002776750907287351,0.13129162385861165,2097152
model.layers.2.mlp.down_proj,0.00037163576280363486,0.11178479219439019,12582912
model.layers.2.mlp.gate_proj,0.00021145271875866456,0.16187839404500545,12582912
model.layers.2.mlp.up_proj,0.0006625017564753458,0.10611507336620607,12582912
model.layers.2.self_attn.k_proj,0.001117778388561419,0.12226785138621306,2097152
model.layers.2.self_attn.o_proj,0.001483495801949175,0.1124361408484467,4194304
model.layers.2.self_attn.q_proj,0.0012245250545674935,0.12954093690913282,4194304
model.layers.2.self_attn.v_proj,0.0003972261711169267,0.12644449558741855,2097152
model.layers.20.mlp.down_proj,0.0010696350307929,0.12760769155934015,12582912
model.layers.20.mlp.gate_proj,0.0011242074539647244,0.12733440170200852,12582912
model.layers.20.mlp.up_proj,0.0008343206394177589,0.1355000623672113,12582912
model.layers.20.self_attn.k_proj,0.0005058237929915776,0.11964198067150959,2097152
model.layers.20.self_attn.o_proj,0.0007854024047446728,0.1052878220484295,4194304
model.layers.20.self_attn.q_proj,0.0003531012339408335,0.14406244145853317,4194304
model.layers.20.self_attn.v_proj,0.0009778690364328213,0.13238840313924377,2097152
