layer,mean,std,n
model.layers.0.mlp.down_proj,-0.032336721193056105,0.026720042377766522,24903680
model.layers.0.mlp.gate_proj,-0.09845855165698787,0.07680120027364591,24903680
model.layers.0.mlp.up_proj,-0.17877606736307683,0.1379862658262577,24903680
model.layers.0.self_attn.k_proj,-0.05185107804863946,0.04550504012502466,2621440
model.layers.0.self_attn.o_proj,-0.05555881169038912,0.045720938071231815,10485760
model.layers.0.self_attn.q_proj,-0.04885616061310429,0.043478646154976076,10485760
model.layers.0.self_attn.v_proj,-0.04697759166301694,0.03692880568624915,2621440
model.layers.1.mlp.down_proj,-0.017938726102212105,0.030218330022603157,24903680
model.layers.1.mlp.gate_proj,-0.09184787355276584,0.1711690968879702,24903680
model.layers.1.mlp.up_proj,-0.09242034012805131,0.11825768581131393,24903680
model.layers.1.self_attn.k_proj,-0.0856190936981875,0.08735605302446685,2621440
model.layers.1.self_attn.o_proj,-0.05743376676455227,0.04505435957937652,10485760
model.layers.1.self_attn.q_proj,-0.079676262796238,0.0775332714257977,10485760
model.layers.1.self_attn.v_proj,-0.0811417614488164,0.06745447436115702,2621440
model.layers.10.mlp.down_proj,-0.0336906568950278,0.027619194428813363,24903680
model.layers.10.mlp.gate_proj,-0.06587838904042176,0.05617909483865116,24903680
model.layers.10.mlp.up_proj,-0.09578176601069954,0.07394621667245391,24903680
model.layers.10.self_attn.k_proj,-0.05010818614573509,0.048945039999080175,2621440
model.layers.10.self_attn.o_proj,-0.06107151232472461,0.048673218809648276,10485760
model.layers.10.self_attn.q_proj,-0.04968438958803745,0.048162177243438624,10485760
model.layers.10.self_attn.v_proj,-0.05226696427198476,0.04138893515974119,2621440
model.layers.11.mlp.down_proj,-0.03553297754586215,0.02816565746203934,24903680
model.layers.11.mlp.gate_proj,-0.10913638402891687,0.09255049541894861,24903680
model.layers.11.mlp.up_proj,-0.16095192309087572,0.12508622131845687,24903680
model.layers.11.self_attn.k_proj,-0.032380849664878045,0.03490037209170773,2621440
model.layers.11.self_attn.o_proj,-0.060474491284549,0.047765402818581,10485760
model.layers.11.self_attn.q_proj,-0.031848907391258764,0.031574961950900066,10485760
model.layers.11.self_attn.v_proj,-0.033403429080863134,0.026465132974345485,2621440
model.layers.12.mlp.down_proj,-0.03451412568871379,0.02752817156077424,24903680
model.layers.12.mlp.gate_proj,-0.07290275865464202,0.0628762061887134,24903680
model.layers.12.mlp.up_proj,-0.11851014903804753,0.09320074510714413,24903680
model.layers.12.self_attn.k_proj,-0.03290676213073311,0.03614806310644443,2621440
model.layers.12.self_attn.o_proj,-0.059390185600568655,0.04808994899441718,10485760
model.layers.12.self_attn.q_proj,-0.03330822560233173,0.033778123026587406,10485760
model.layers.12.self_attn.v_proj,-0.03463825930266466,0.028771258195514047,2621440
model.layers.13.mlp.down_proj,-0.03969222558635489,0.03332962557261123,24903680
model.layers.13.mlp.gate_proj,-0.07808649435847703,0.06894635923101604,24903680
model.layers.13.mlp.up_proj,-0.11759203823565162,0.09371221819929566,24903680
model.layers.13.self_attn.k_proj,-0.03323067263117992,0.03813201258039968,2621440
model.layers.13.self_attn.o_proj,-0.058280005050255566,0.04551136290529979,10485760
model.layers.13.self_attn.q_proj,-0.03363840261818041,0.03284627043598884,10485760
model.layers.13.self_attn.v_proj,-0.034793840406200614,0.02762411040468684,2621440
model.layers.14.mlp.down_proj,-0.04372046175213702,0.035215189253795305,24903680
model.layers.14.mlp.gate_proj,-0.0666435675343229,0.06050595798061374,24903680
model.layers.14.mlp.up_proj,-0.08933652478398903,0.07112875699674018,24903680
model.layers.14.self_attn.k_proj,-0.03319278682483855,0.03129892819463931,2621440
model.layers.14.self_attn.o_proj,-0.05738466605835128,0.04560969748003298,10485760
model.layers.14.self_attn.q_proj,-0.03351517392393362,0.030691900286237753,10485760
